product_id,product_name,price,currency,store_name,image_url,product_link,price_tags
2237,BIONA SPELT TAGLAITELLE SPINACH  250G,78,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/HEALTHY%20FOODIE/FOODIE/biona/BIONA%20001-200x200.jpg,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/BIONA-SPELT-TAGLAITELLE-SPINACH-250G?limit=100,Budget
2238,FRENCH BEANS  500G,180,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/0%20backnd%20D-L/french%20beans-200x200.PNG,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRENCH-BEANS-500G-NOW-AVAILABLE-ON-E-MART?limit=100,Budget
2239,FRESH APPLES PINK LADY PER KG,495,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/Fruits%20n%20Vegetables/FRESH%20APPLES%20PINKLADY-200x200.jpg,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-APPLES-PINK-LADY-PER-KG?limit=100,Budget
2240,FRESH BLACK BERRIES,550,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/0%20backnd%20D-L/fresh%20black%20berries-200x200.PNG,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-BLACK-BERRIES-NOW-AVAILABLE-ON-E-MART?limit=100,Budget
2241,FRESH BUTTON MUSHROOM,349,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/printers/HYT-removebg-preview-200x200.png,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-BUTTON-MUSHROOM-NOW-AVAILABLE-ON-E-MART?limit=100,Budget
2242,FRESH CARROTS PER KG,199,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/Meat%20Depot/CARROTS-removebg-preview-200x200.png,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-CARROTS-PER-KG?limit=100,Budget
2243,FRESH COURGETTES/ZUCCHINI PER KG,192,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/Meat%20Depot/COJET-removebg-preview-200x200.png,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-COURGETTES-ZUCCHINI-PER-KG?limit=100,Budget
2244,FRESH DHANIA,25,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/Meat%20Depot/DHANIA-removebg-preview-200x200.png,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-DHANIA?limit=100,Budget
2245,FRESH GREEN MAIZE,59,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/Food/fresh-maize-white-200x200.jpg,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-GREEN-MAIZE-NOW-AVAILABLE-ON-E-MART?limit=100,Budget
2246,FRESH IMPORTED NECTARINE PER KG,1605,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/0%20backnd%20D-L/fresh%20imported%20nectarine-200x200.PNG,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-IMPORTED-NECTARINE-PER-KG-NOW-AVAILABLE-ON-E-MART?limit=100,Budget
