user_id,product_id,rating,review_text
135,1,4,Decent product.
106,1,5,Awesome!
177,1,5,I love it!
67,1,4,Excellent quality.
176,1,3,Average quality.
70,1,4,Highly recommended.
95,1,2,Poor quality.
114,1,5,Awesome!
1,1,3,Fair product.
60,1,5,I love it!
114,1,5,Best purchase ever!
161,1,4,Decent product.
35,1,5,Highly recommended.
152,1,3,"Okay, but could be better."
98,1,5,Highly recommended.
71,1,4,Awesome!
29,1,5,Excellent quality.
174,1,4,Decent product.
41,1,4,Decent product.
177,1,3,It's alright.
153,1,5,Best purchase ever!
17,1,3,"Okay, but could be better."
57,1,1,Disappointing.
20,1,5,I love it!
43,1,3,Fair product.
130,1,2,Disappointing.
15,1,4,"Okay, but could be better."
88,1,4,Excellent quality.
16,1,4,Great product!
161,1,5,I love it!
45,1,5,Highly recommended.
131,1,5,Best purchase ever!
122,1,2,Poor quality.
102,1,3,"Okay, but could be better."
138,1,4,Highly recommended.
144,1,3,"Not bad, but not great."
22,1,4,I like it.
110,1,4,Great product!
99,1,3,Decent product.
134,1,5,Highly recommended.
138,1,3,It's alright.
113,1,5,Great product!
60,1,5,Best purchase ever!
40,1,5,Best purchase ever!
19,1,3,Decent product.
142,1,2,Waste of money.
128,1,3,Fair product.
59,1,1,Poor quality.
34,1,5,Great product!
116,1,4,Highly recommended.
101,1,3,"Not bad, but not great."
123,1,3,Fair product.
114,1,3,"Not bad, but not great."
60,1,5,Excellent quality.
34,1,5,Highly recommended.
89,1,5,Awesome!
111,1,5,I love it!
40,1,5,I love it!
81,1,4,Best purchase ever!
158,1,4,Awesome!
44,1,5,Best purchase ever!
36,1,5,Excellent quality.
118,1,4,Best purchase ever!
124,1,5,Great product!
137,1,4,I like it.
1,1,4,Highly recommended.
13,2,5,Best purchase ever!
121,2,5,Highly recommended.
157,2,5,Great product!
110,2,5,Highly recommended.
142,2,4,Awesome!
34,2,5,Highly recommended.
38,2,4,Decent product.
132,2,2,Waste of money.
30,2,3,"Not bad, but not great."
63,2,1,Poor quality.
83,2,5,Highly recommended.
70,2,1,Disappointing.
123,2,5,Excellent quality.
88,2,2,Disappointing.
92,2,5,Great product!
158,2,4,Great product!
111,2,1,Would not recommend.
105,2,4,Highly recommended.
30,2,2,Poor quality.
26,2,4,Great product!
158,2,4,I like it.
92,2,5,Awesome!
26,2,5,I love it!
144,2,4,Excellent quality.
17,2,4,"Okay, but could be better."
84,2,3,Decent product.
77,2,1,Terrible experience.
138,2,4,Awesome!
14,2,5,Awesome!
101,2,5,Highly recommended.
139,2,5,I love it!
52,2,4,Decent product.
40,2,3,Fair product.
129,2,5,Highly recommended.
159,2,2,Disappointing.
4,2,1,Terrible experience.
137,2,2,Regret buying it.
36,2,3,"Not bad, but not great."
174,2,5,I love it!
40,2,4,Highly recommended.
101,2,5,I love it!
70,2,1,Terrible experience.
30,2,5,Excellent quality.
50,2,5,I love it!
47,2,3,Fair product.
174,2,5,Highly recommended.
161,2,5,Best purchase ever!
25,2,5,Great product!
152,2,4,Great product!
33,2,5,Awesome!
60,2,2,Would not recommend.
139,2,3,It's alright.
155,2,4,Awesome!
47,2,5,Awesome!
6,2,5,Best purchase ever!
136,2,5,Excellent quality.
23,2,4,Excellent quality.
41,2,2,Poor quality.
80,2,5,Highly recommended.
57,2,4,Awesome!
103,2,5,Great product!
75,2,3,"Okay, but could be better."
5,2,4,I like it.
135,2,4,Great product!
105,2,4,"Okay, but could be better."
160,2,5,Awesome!
141,2,3,"Okay, but could be better."
116,2,4,I like it.
127,2,4,Highly recommended.
18,2,4,I like it.
89,2,5,Highly recommended.
36,2,4,"Okay, but could be better."
16,3,3,Average quality.
152,3,4,"Okay, but could be better."
42,3,5,Awesome!
27,3,5,Best purchase ever!
57,3,4,Highly recommended.
26,3,5,Excellent quality.
124,3,2,Disappointing.
121,3,3,Decent product.
139,3,4,Awesome!
119,3,5,Great product!
155,3,5,Highly recommended.
66,3,1,Waste of money.
49,3,2,Poor quality.
67,3,2,Would not recommend.
39,3,4,Excellent quality.
149,3,5,Great product!
157,3,3,Decent product.
91,3,5,Awesome!
153,3,5,Excellent quality.
112,3,5,Great product!
114,3,4,Best purchase ever!
47,3,3,Average quality.
121,3,4,Decent product.
77,3,3,"Not bad, but not great."
115,3,4,"Okay, but could be better."
123,3,4,"Okay, but could be better."
48,3,5,Excellent quality.
36,3,5,Great product!
149,3,5,Excellent quality.
116,3,4,Decent product.
136,3,4,Highly recommended.
30,3,2,Waste of money.
